"","edf","Ref.df","F","p-value"
"s(medincome_mean)",8.07047570946368,8.76279855400905,4.68716216241291,6.58532154440561e-06
"s(housing_density_mean)",7.90617910347178,8.68565377471232,5.96639418891093,5.78678279183897e-07
"s(bio1_temp_mean)",2.35311680601487,3.03983620725673,4.73322948507672,0.00273818115229646
"s(ndviwet_mean)",3.2504234668593,4.13851270464099,2.42123829037619,0.043697368428829
"s(nitelite_mean)",6.86777367408184,7.94672852864707,2.41599572289502,0.0121005592202292
"s(traffic_mean)",1.08209592604513,1.15907380317611,0.0242684415391989,0.912885289774748
