"","model","nobs","df","logLik","AIC","BIC","delta_AIC","AIC_weight"
"1","GAM smooth effort",1326,562.704708074838,-4056.84792511402,9239.10526637772,12159.4989063984,0,1
"2","GAM linear effort",1326,559.605342613354,-4151.58195393421,9422.37459309513,12326.682767592,183.269326717413,1.59798004703538e-40
"3","TMB linear effort",1326,11,-5534.66344895167,11091.3268979033,11148.4160417815,1852.22163152563,0
"4","TMB spline effort",1326,13,-5534.27941233722,11094.5588246744,11162.0278128941,1855.45355829671,0
"5","GAM offset",1326,367.460577269802,-7483.56997592929,15702.0611063982,17609.1529032458,6462.95584002046,0
"6","TMB offset",1326,10,-7925.35740960661,15870.7148192132,15922.6140409207,6631.6095528355,0
