"","model","nobs","df","logLik","AIC","BIC","delta_AIC","AIC_weight"
"1","GAM smooth effort",1328,342.099922208761,-4934.97765764596,10554.1551597094,12330.1427296672,0,1
"2","GAM linear effort",1328,340.933982935104,-4974.06059696975,10629.9891598097,12399.9238384251,75.8340001002653,3.41079885015263e-17
"3","TMB spline effort",1328,13,-5363.96544900959,10753.9308980192,10821.4194793097,199.775738309738,4.1614972977937e-44
"4","TMB linear effort",1328,11,-5385.01029534613,10792.0205906923,10849.1263133227,237.865430982814,2.22934839736611e-52
"5","GAM offset",1328,378.475908932995,-5563.98360630861,11884.9190304832,13849.7499648301,1330.76387077377,1.06732603545279e-289
"6","TMB offset",1328,10,-6017.41020212157,12054.8204042431,12106.7346975435,1500.6652445337,0
