"variable","total","mean","median","sd","max","min"
"migration stopover density",231918.96,126.59,129.34,36.53,325.01,37.76
"species richness",83772,53.26,40,45.38,253,1
"migratory species richness",57023,36.25,26,33.89,198,0
"eBird species records",5197453,3304.17,141,17767.96,321304,1
"eBird migrant records",3245999,2063.57,82,11543.66,247696,0
"eBirb checklists",288470,183.39,17,768.09,13979,1
