"model","nobs","df","logLik","AIC","BIC","delta_AIC","AIC_weight"
"GAM smooth effort",1328,300.054593284426,-3851.36794490737,8302.8450763836,9860.55729257251,0,1
"TMB spline effort",1328,13,-4215.86504207592,8457.73008415184,8525.21866544231,154.885007768244,2.32888422077342e-34
"GAM linear effort",1328,260.712395262745,-3970.9359535424,8463.29669761028,9816.76667308133,160.451621226684,1.44003532055368e-35
"TMB linear effort",1328,11,-4265.2734550726,8552.5469101452,8609.6526327756,249.701833761601,5.99702332649034e-55
"GAM offset",1328,333.996263511786,-4846.10621328547,10360.2049535945,12094.1229521122,2057.35987721091,0
"TMB offset",1328,10,-5221.81945081251,10463.638901625,10515.5531949254,2160.79382524142,0
